provinsi,pengeluaran
ACEH,1225976
BALI,1741523
BANTEN,1743687
BENGKULU,1332558
DI YOGYAKARTA,1731560
DKI JAKARTA,2791716
GORONTALO,1228893
JAMBI,1424125
JAWA BARAT,1567666
JAWA TENGAH,1209906
JAWA TIMUR,1323486
KALIMANTAN BARAT,1345552
KALIMANTAN SELATAN,1457344
KALIMANTAN TENGAH,1525785
KALIMANTAN TIMUR,1980275
KALIMANTAN UTARA,1693577
KEP. BANGKA BELITUNG,1727550
KEP. RIAU,1989703
LAMPUNG,1203017
MALUKU,1238170
MALUKU UTARA,1317159
NUSA TENGGARA BARAT,1260820
NUSA TENGGARA TIMUR,961372
PAPUA,1509992
PAPUA BARAT,1598254
RIAU,1527549
SULAWESI BARAT,1036520
SULAWESI SELATAN,1252551
SULAWESI TENGAH,1173679
SULAWESI TENGGARA,1172739
SULAWESI UTARA,1315176
SUMATERA BARAT,1411823
SUMATERA SELATAN,1209986
SUMATERA UTARA,1305339
