provinsi,ump
ACEH,3413666
BALI,2713672
BANTEN,2661280
BENGKULU,2418280
DI YOGYAKARTA,2025046
DKI JAKARTA,4901798
GORONTALO,2983350
JAMBI,2943000
JAWA BARAT,1986670
JAWA TENGAH,1958169
JAWA TIMUR,2040244
KALIMANTAN BARAT,2608601
KALIMANTAN SELATAN,3149977
KALIMANTAN TENGAH,3181013
KALIMANTAN TIMUR,3201396
KALIMANTAN UTARA,3251702
KEP. BANGKA BELITUNG,3498479
KEP. RIAU,3279194
LAMPUNG,2633284
MALUKU,2976720
MALUKU UTARA,2976720
NUSA TENGGARA BARAT,2371407
NUSA TENGGARA TIMUR,2123994
PAPUA,3864696
PAPUA BARAT,3282000
RIAU,3191662
SULAWESI BARAT,2871794
SULAWESI SELATAN,3385145
SULAWESI TENGAH,2599546
SULAWESI TENGGARA,2758984
SULAWESI UTARA,3485000
SUMATERA BARAT,2742476
SUMATERA SELATAN,3404177
SUMATERA UTARA,2710493
